Pos,Squad,Pld,W,D,L,GF,GA,GD,Pts,Season,Season_End
1,River Plate,27,17,6,4,55,26,29,57,2023,2023
2,San Lorenzo,27,15,7,5,48,28,20,52,2023,2023
3,Talleres,27,14,8,5,43,28,15,50,2023,2023
4,Estudiantes,27,14,6,7,41,28,13,48,2023,2023
5,Boca Juniors,27,13,8,6,40,27,13,47,2023,2023
6,Independiente,27,12,9,6,37,26,11,45,2023,2023
7,Atletico Tucuman,27,12,7,8,38,31,7,43,2023,2023
8,Racing Club,27,12,7,8,41,34,7,43,2023,2023
9,Lanus,27,11,7,9,36,33,3,40,2023,2023
10,Huracan,27,10,9,8,33,30,3,39,2023,2023
11,Belgrano,27,10,8,9,33,33,0,38,2023,2023
12,Gimnasia y Esgrima La Plata,27,10,7,10,32,33,-1,37,2023,2023
13,Velez Sarsfield,27,9,9,9,32,34,-2,36,2023,2023
14,Defensa y Justicia,27,9,8,10,31,34,-3,35,2023,2023
15,Union Santa Fe,27,9,7,11,28,34,-6,34,2023,2023
16,Godoy Cruz,27,8,9,10,28,33,-5,33,2023,2023
17,Colon,27,8,8,11,27,36,-9,32,2023,2023
18,Central Cordoba,27,7,9,11,25,34,-9,30,2023,2023
19,Arsenal,27,7,8,12,25,38,-13,29,2023,2023
20,Sarmiento,27,7,7,13,24,38,-14,28,2023,2023
21,Barracas Central,27,6,9,12,22,37,-15,27,2023,2023
22,Newells Old Boys,27,6,8,13,25,41,-16,26,2023,2023
23,Tigre,27,6,7,14,25,43,-18,25,2023,2023
24,Argentinos Juniors,27,5,9,13,22,40,-18,24,2023,2023
25,San Martin de San Juan,27,5,8,14,20,40,-20,23,2023,2023
26,Instituto,27,5,7,15,22,43,-21,22,2023,2023
27,Platense,27,4,9,14,21,43,-22,21,2023,2023
28,Banfield,27,4,8,15,20,42,-22,20,2023,2023
29,Rosario Central,27,4,7,16,18,43,-25,19,2023,2023
30,Patronato,27,3,7,17,16,46,-30,16,2023,2023
