Pos,Squad,Pld,W,D,L,GF,GA,GD,Pts,Season,Season_End
1,Atletico Mineiro,38,22,10,6,71,41,30,76,2023,2023
2,Gremio,38,20,11,7,57,36,21,71,2023,2023
3,Fluminense,38,19,9,10,59,42,17,66,2023,2023
4,Atletico Paranaense,38,18,11,9,56,41,15,65,2023,2023
5,Palmeiras,38,18,10,10,62,42,20,64,2023,2023
6,Flamengo,38,17,11,10,57,44,13,62,2023,2023
7,Red Bull Bragantino,38,16,12,10,62,50,12,60,2023,2023
8,Bahia,38,16,9,13,55,49,6,57,2023,2023
9,Botafogo,38,16,9,13,50,44,6,57,2023,2023
10,Fortaleza,38,15,8,15,51,52,-1,53,2023,2023
11,Vasco da Gama,38,13,11,14,47,52,-5,50,2023,2023
12,Internacional,38,13,10,15,45,48,-3,49,2023,2023
13,Corinthians,38,12,11,15,38,47,-9,47,2023,2023
14,Sao Paulo,38,12,11,15,42,50,-8,47,2023,2023
15,Cuiaba,38,12,10,16,38,53,-15,46,2023,2023
16,Cruzeiro,38,11,11,16,44,54,-10,44,2023,2023
17,Goias,38,10,10,18,40,57,-17,40,2023,2023
18,Santos,38,9,9,20,36,62,-26,36,2023,2023
19,Coritiba,38,7,8,23,29,66,-37,29,2023,2023
20,America Mineiro,38,6,6,26,31,79,-48,24,2023,2023
