Pos,Squad,Pld,W,D,L,GF,GA,GD,Pts,Season,Season_End
1,Bayer Leverkusen,34,28,6,0,89,24,65,90,2023-24,2024
2,Bayern Munich,34,22,6,6,94,45,49,72,2023-24,2024
3,VfB Stuttgart,34,23,3,8,78,39,39,72,2023-24,2024
4,RB Leipzig,34,19,7,8,77,44,33,64,2023-24,2024
5,Borussia Dortmund,34,18,7,9,68,43,25,61,2023-24,2024
6,Eintracht Frankfurt,34,16,6,12,51,48,3,54,2023-24,2024
7,TSG Hoffenheim,34,14,8,12,65,65,0,50,2023-24,2024
8,Freiburg,34,13,8,13,47,57,-10,47,2023-24,2024
9,FC Augsburg,34,12,10,12,48,56,-8,46,2023-24,2024
10,Werder Bremen,34,11,9,14,48,55,-7,42,2023-24,2024
11,Wolfsburg,34,11,8,15,44,54,-10,41,2023-24,2024
12,Borussia Monchengladbach,34,9,10,15,60,66,-6,37,2023-24,2024
13,Heidenheim,34,10,7,17,47,69,-22,37,2023-24,2024
14,Mainz,34,8,10,16,39,60,-21,34,2023-24,2024
15,Bochum,34,7,8,19,31,67,-36,29,2023-24,2024
16,FC Koln,34,7,8,19,27,53,-26,29,2023-24,2024
17,Union Berlin,34,5,11,18,27,63,-36,26,2023-24,2024
18,SV Darmstadt 98,34,4,5,25,30,90,-60,17,2023-24,2024
