Player,Club,Penalties,Scored,Missed,Conversion %
Ali Daei,Iran,8,7,1,87.5
Lee Dong-gook,South Korea,6,5,1,83.3
Naohiro Takahara,Japan,5,4,1,80.0
Sun Jihai,China,5,4,1,80.0
Shunsuke Nakamura,Japan,5,4,1,80.0
Tim Cahill,Australia,5,4,1,80.0
Yuki Honda,Japan,4,4,0,100.0
Eran Zahavi,Israel,4,3,1,75.0
Sardar Azmoun,Iran,4,4,0,100.0
Mohammed Al-Deayea,Saudi Arabia,4,3,1,75.0
Salem Al-Dawsari,Saudi Arabia,4,3,1,75.0
Hossein Kaebi,Iran,3,3,0,100.0
Yasuhito Endo,Japan,3,2,1,66.7
Son Heung-min,South Korea,3,3,0,100.0
Farouk Miah,Australia,3,2,1,66.7
