Goalkeeper,Club,Faced,Saved,Save %
Gianluigi Buffon,Juventus / PSG,47,13,27.7
Edwin van der Sar,Ajax / Manchester United,38,11,28.9
Iker Casillas,Real Madrid,36,9,25.0
Manuel Neuer,Bayern Munich,32,8,25.0
Petr Cech,Chelsea / Arsenal,30,9,30.0
Oliver Kahn,Bayern Munich,29,8,27.6
Thibaut Courtois,Real Madrid,28,7,25.0
Victor Valdes,FC Barcelona,27,7,25.9
Alisson Becker,Liverpool / AS Roma,24,7,29.2
David de Gea,Manchester United,23,6,26.1
Hugo Lloris,Tottenham,22,6,27.3
Marc-Andre ter Stegen,FC Barcelona,22,6,27.3
Ederson,Manchester City,20,6,30.0
Dino Zoff,Juventus,18,5,27.8
Peter Schmeichel,Manchester United,17,5,29.4
Andoni Zubizarreta,FC Barcelona,16,4,25.0
Jose Manuel Reina,Liverpool,15,4,26.7
Jan Oblak,Atletico Madrid,15,5,33.3
