Player,Club,Penalties,Scored,Missed,Conversion %
Cristiano Ronaldo,Multiple Clubs,43,38,5,88.4
Lionel Messi,FC Barcelona / PSG,34,28,6,82.4
Robert Lewandowski,Bayern Munich / Barcelona,18,16,2,88.9
Ruud van Nistelrooy,Manchester United / Real Madrid,16,14,2,87.5
Zlatan Ibrahimovic,Multiple Clubs,15,12,3,80.0
Karim Benzema,Real Madrid,14,12,2,85.7
Raul,Real Madrid,12,10,2,83.3
Thierry Henry,Arsenal / Barcelona,11,9,2,81.8
Francesco Totti,AS Roma,10,8,2,80.0
Patrick Kluivert,AFC Ajax / Barcelona,10,9,1,90.0
Filippo Inzaghi,AC Milan,10,8,2,80.0
Wayne Rooney,Manchester United,10,8,2,80.0
Antoine Griezmann,Atletico Madrid / FC Barcelona,10,9,1,90.0
Harry Kane,Tottenham / Bayern Munich,9,8,1,88.9
Romelu Lukaku,Chelsea / Inter Milan,9,7,2,77.8
Luis Suarez,Barcelona / Ajax,9,8,1,88.9
Didier Drogba,Chelsea,8,7,1,87.5
Javier Pastore,PSG,8,6,2,75.0
Luka Modric,Real Madrid,8,6,2,75.0
Gonzalo Higuain,Real Madrid / Juventus,8,7,1,87.5
Arjen Robben,Bayern Munich,7,6,1,85.7
Edin Dzeko,AS Roma / Inter Milan,7,6,1,85.7
Mo Salah,Liverpool,7,6,1,85.7
Sadio Mane,Liverpool / Bayern Munich,6,5,1,83.3
Kevin De Bruyne,Manchester City,6,5,1,83.3
