Player,Club,Penalties,Scored,Missed,Conversion %
Tammy Abraham,AS Roma,10,9,1,90.0
Jose Fonte,Lille,8,7,1,87.5
Nicolo Zaniolo,AS Roma,7,6,1,85.7
Boulaye Dia,Salernitana / Lazio,6,5,1,83.3
Vedat Muriqi,Lazio / Mallorca,6,5,1,83.3
Musa Barrow,Bologna,5,4,1,80.0
Patrik Schick,Bayer Leverkusen,5,4,1,80.0
Elias Jelert,FC Copenhagen,5,4,1,80.0
Yusuf Yazici,Lille,4,4,0,100.0
Kingsley Coman,Bayern Munich,4,3,1,75.0
Myron Boadu,Monaco,4,3,1,75.0
Samuel Lino,Atletico Madrid,3,3,0,100.0
Senne Lynen,Club Brugge,3,2,1,66.7
Victor Boniface,Bayer Leverkusen,3,2,1,66.7
