Player,Club,Penalties,Scored,Missed,Conversion %
Lionel Messi,Argentina,10,9,1,90.0
Neymar,Brazil,9,8,1,88.9
Luis Suarez,Uruguay,8,7,1,87.5
Diego Maradona,Argentina,7,6,1,85.7
Gabriel Batistuta,Argentina,7,7,0,100.0
Paolo Guerrero,Peru,6,5,1,83.3
Marcelo Moreno,Bolivia,5,4,1,80.0
Edison Cavani,Uruguay,5,4,1,80.0
Sergio Aguero,Argentina,5,4,1,80.0
Alexis Sanchez,Chile,5,4,1,80.0
Arturo Vidal,Chile,5,4,1,80.0
Carlos Tevez,Argentina,5,4,1,80.0
Radamel Falcao,Colombia,4,4,0,100.0
James Rodriguez,Colombia,4,3,1,75.0
Lautaro Martinez,Argentina,4,4,0,100.0
Gianluca Lapadula,Peru,4,3,1,75.0
