Goalkeeper,Club,Faced,Saved,Save %
Samir Handanovic,Inter Milan / Udinese,28,8,28.6
Hugo Lloris,Tottenham,22,6,27.3
David de Gea,Manchester United,20,5,25.0
Pepe Reina,Napoli / Liverpool,18,5,27.8
Kasper Schmeichel,Leicester City,16,5,31.3
Michel Vorm,Swansea / Tottenham,14,4,28.6
Artur Boruc,Celtic,14,4,28.6
Stipe Pletikosa,Rubin Kazan,12,3,25.0
Emi Martinez,Aston Villa / Arsenal,11,4,36.4
Ruben Blanco,Celta Vigo,10,3,30.0
Alex Meret,Napoli,10,3,30.0
Tomas Vaclik,Seville,9,3,33.3
Jose Sa,Wolves,9,3,33.3
