Player,Club,Penalties,Scored,Missed,Conversion %
Radamel Falcao,Atletico Madrid / Porto,18,16,2,88.9
Romelu Lukaku,Manchester United / Inter,14,12,2,85.7
Kevin Mirallas,Everton / Fiorentina,12,10,2,83.3
Papiss Cisse,Newcastle United,11,9,2,81.8
Dimitar Berbatov,Tottenham / Manchester United,10,9,1,90.0
Kenny Miller,Multiple Clubs,10,8,2,80.0
Henrikh Mkhitaryan,Manchester United / AS Roma,10,8,2,80.0
Aleksandar Mitrovic,Fulham / Fulham,9,8,1,88.9
Olivier Giroud,Arsenal / Chelsea / AC Milan,9,8,1,88.9
Aaron Ramsey,Arsenal / Juventus,8,7,1,87.5
Josip Ilicic,Atalanta,8,7,1,87.5
Granit Xhaka,Arsenal,7,6,1,85.7
Ryan Christie,Celtic,7,6,1,85.7
Albian Ajeti,Celtic,6,5,1,83.3
Eran Zahavi,PSV / Al-Hilal,6,5,1,83.3
Tammy Abraham,Chelsea / AS Roma,6,5,1,83.3
Jose Callejon,Napoli,5,4,1,80.0
Serhiy Rebrov,Kyiv,5,4,1,80.0
