Player,Club,Penalties,Scored,Missed,Conversion %
Michel Platini,France,9,9,0,100.0
Cristiano Ronaldo,Portugal,8,7,1,87.5
Wayne Rooney,England,7,5,2,71.4
Thierry Henry,France,6,5,1,83.3
Alan Shearer,England,6,5,1,83.3
Zlatan Ibrahimovic,Sweden,6,5,1,83.3
Theodoros Zagorakis,Greece,5,4,1,80.0
David Beckham,England,5,4,1,80.0
Ruud van Nistelrooy,Netherlands,5,5,0,100.0
Patrick Kluivert,Netherlands,5,4,1,80.0
Hakan Sukur,Turkey,5,4,1,80.0
Alessandro Del Piero,Italy,5,4,1,80.0
Andriy Shevchenko,Ukraine,5,4,1,80.0
Luka Modric,Croatia,4,3,1,75.0
Romelu Lukaku,Belgium,4,3,1,75.0
Harry Kane,England,4,3,1,75.0
Kylian Mbappé,France,4,3,1,75.0
Alvaro Morata,Spain,4,4,0,100.0
Robert Lewandowski,Poland,4,3,1,75.0
Gareth Bale,Wales,4,3,1,75.0
