Player,Club,Penalties,Scored,Missed,Conversion %
Alberto Espago,River Plate,12,10,2,83.3
Juan Roman Riquelme,Boca Juniors,11,10,1,90.9
Luiz Adriano,Shakhtar / Cruzeiro,10,9,1,90.0
Hernan Crespo,River Plate / Boca,10,8,2,80.0
Marcelinho Paulista,Various,9,8,1,88.9
Tevez Carlos,Boca Juniors,9,8,1,88.9
Claudio Moreno,Atletico Mineiro,8,7,1,87.5
Juan Fernando Quintero,River Plate,8,7,1,87.5
Pablo Zeballos,Olimpia,7,6,1,85.7
Marcelo Gallardo,River Plate,7,6,1,85.7
Gabigol (Gabriel Barbosa),Flamengo,7,6,1,85.7
Giorgian De Arrascaeta,Flamengo,6,5,1,83.3
Lautaro Martinez,Racing Club,6,5,1,83.3
Everton Ribeiro,Flamengo,6,5,1,83.3
Hulk,Atletico Mineiro,6,5,1,83.3
