Goalkeeper,Club,Faced,Saved,Save %
Peter Shilton,England,10,4,40.0
Gianluigi Buffon,Italy,9,3,33.3
Lev Yashin,Soviet Union,8,4,50.0
Gordon Banks,England,8,3,37.5
Dino Zoff,Italy,8,2,25.0
Sepp Maier,West Germany,8,3,37.5
Harald Schumacher,West Germany,7,2,28.6
Claudio Taffarel,Brazil,7,3,42.9
Tony Meola,USA,7,2,28.6
Iker Casillas,Spain,7,2,28.6
Manuel Neuer,Germany,6,2,33.3
Keylor Navas,Costa Rica,6,3,50.0
Guillermo Ochoa,Mexico,6,2,33.3
Hugo Lloris,France,6,2,33.3
Emiliano Martinez,Argentina,6,3,50.0
