Player,Club,Penalties,Scored,Missed,Conversion %
Cristiano Ronaldo,Portugal,8,7,1,87.5
Lionel Messi,Argentina,7,6,1,85.7
Miroslav Klose,Germany,6,5,1,83.3
Gerd Müller,West Germany,6,6,0,100.0
Ronaldo (R9),Brazil,6,5,1,83.3
Robbie Keane,Ireland,6,5,1,83.3
Roberto Baggio,Italy,5,4,1,80.0
Lothar Matthäus,West Germany / Germany,5,5,0,100.0
Michel Platini,France,5,5,0,100.0
Thierry Henry,France,5,4,1,80.0
Davor Suker,Croatia,5,4,1,83.3
Just Fontaine,France,4,4,0,100.0
Pelé,Brazil,4,4,0,100.0
Diego Maradona,Argentina,4,3,1,75.0
Eusébio,Portugal,4,4,0,100.0
Uwe Seeler,West Germany,4,3,1,75.0
Jürgen Klinsmann,Germany,4,4,0,100.0
Gabriel Batistuta,Argentina,4,4,0,100.0
Filippo Inzaghi,Italy,4,3,1,75.0
Wayne Rooney,England,4,3,1,75.0
Neymar,Brazil,4,3,1,75.0
Harry Kane,England,4,4,0,100.0
Kylian Mbappé,France,4,3,1,75.0
