Pos,Squad,Pld,W,D,L,GF,GA,GD,Pts,Season,Season_End
1,PSV Eindhoven,34,30,2,2,104,29,75,92,2023-24,2024
2,Feyenoord,34,23,5,6,83,43,40,74,2023-24,2024
3,AZ,34,22,8,4,68,37,31,74,2023-24,2024
4,FC Utrecht,34,17,6,11,55,44,11,57,2023-24,2024
5,Ajax,34,17,5,12,68,59,9,56,2023-24,2024
6,NEC Nijmegen,34,14,7,13,52,56,-4,49,2023-24,2024
7,FC Twente,34,13,8,13,47,44,3,47,2023-24,2024
8,Go Ahead Eagles,34,13,7,14,52,55,-3,46,2023-24,2024
9,Almere City,34,11,7,16,46,60,-14,40,2023-24,2024
10,Sparta Rotterdam,34,11,7,16,51,62,-11,40,2023-24,2024
11,PEC Zwolle,34,10,8,16,50,70,-20,38,2023-24,2024
12,SC Heerenveen,34,9,9,16,46,60,-14,36,2023-24,2024
13,RKC Waalwijk,34,9,9,16,44,65,-21,36,2023-24,2024
14,Excelsior,34,8,9,17,41,68,-27,33,2023-24,2024
15,Heracles,34,8,9,17,42,72,-30,33,2023-24,2024
16,Fortuna Sittard,34,7,8,19,41,68,-27,29,2023-24,2024
17,FC Volendam,34,5,9,20,30,62,-32,24,2023-24,2024
18,Vitesse,34,6,6,22,30,73,-43,18,2023-24,2024
