Pos,Squad,Pld,W,D,L,GF,GA,GD,Pts,Season,Season_End
1,Mumbai City,22,14,5,3,43,22,21,47,2023-24,2024
2,Mohun Bagan,22,13,4,5,39,23,16,43,2023-24,2024
3,Odisha FC,22,11,6,5,34,25,9,39,2023-24,2024
4,Bengaluru FC,22,10,6,6,32,26,6,36,2023-24,2024
5,FC Goa,22,9,5,8,33,31,2,32,2023-24,2024
6,Kerala Blasters,22,8,6,8,28,27,1,30,2023-24,2024
7,East Bengal,22,8,5,9,27,33,-6,29,2023-24,2024
8,Jamshedpur FC,22,7,6,9,26,33,-7,27,2023-24,2024
9,Chennaiyin FC,22,6,7,9,28,34,-6,25,2023-24,2024
10,NorthEast United,22,5,8,9,22,31,-9,23,2023-24,2024
11,Punjab FC,22,4,7,11,22,36,-14,19,2023-24,2024
12,Hyderabad FC,22,3,5,14,18,51,-33,14,2023-24,2024
