Pos,Squad,Pld,W,D,L,GF,GA,GD,Pts,Season,Season_End
1,Vissel Kobe,34,22,8,4,65,40,25,74,2023,2023
2,Yokohama F. Marinos,34,20,8,6,73,49,24,68,2023,2023
3,Urawa Reds,34,18,10,6,54,33,21,64,2023,2023
4,Gamba Osaka,34,17,9,8,51,37,14,60,2023,2023
5,Kashima Antlers,34,17,7,10,55,41,14,58,2023,2023
6,Nagoya Grampus,34,14,12,8,41,32,9,54,2023,2023
7,Avispa Fukuoka,34,13,9,12,43,42,1,48,2023,2023
8,Tokyo Verdy,34,12,11,11,44,44,0,47,2023,2023
9,FC Tokyo,34,12,10,12,42,44,-2,46,2023,2023
10,Sanfrecce Hiroshima,34,12,9,13,45,47,-2,45,2023,2023
11,Kashiwa Reysol,34,12,9,13,41,48,-7,45,2023,2023
12,Kawasaki Frontale,34,11,11,12,48,47,1,44,2023,2023
13,Sagan Tosu,34,10,10,14,34,43,-9,40,2023,2023
14,Cerezo Osaka,34,9,11,14,37,49,-12,38,2023,2023
15,Shonan Bellmare,34,9,9,16,40,58,-18,36,2023,2023
16,Albirex Niigata,34,9,8,17,34,54,-20,35,2023,2023
17,Consadole Sapporo,34,6,9,19,35,64,-29,27,2023,2023
18,Yokohama FC,34,5,6,23,28,77,-49,21,2023,2023
