Pos,Squad,Pld,W,D,L,GF,GA,GD,Pts,Season,Season_End
1,Ulsan Hyundai,38,22,9,7,72,39,33,75,2023,2023
2,Jeonbuk Hyundai Motors,38,20,10,8,59,35,24,70,2023,2023
3,Pohang Steelers,38,19,8,11,57,42,15,65,2023,2023
4,FC Seoul,38,17,10,11,55,45,10,61,2023,2023
5,Suwon Samsung Bluewings,38,16,9,13,52,48,4,57,2023,2023
6,Incheon United,38,14,11,13,47,47,0,53,2023,2023
7,Daegu FC,38,13,10,15,46,51,-5,49,2023,2023
8,Gimcheon Sangmu,38,12,12,14,42,47,-5,48,2023,2023
9,Jeju United,38,11,11,16,41,51,-10,44,2023,2023
10,Gwangju FC,38,10,10,18,40,58,-18,40,2023,2023
11,Suwon FC,38,8,8,22,34,62,-28,32,2023,2023
12,Gangwon FC,38,6,8,24,30,71,-41,26,2023,2023
