Pos,Squad,Pld,W,D,L,GF,GA,GD,Pts,Season,Season_End
1,Real Madrid,38,29,7,2,87,26,61,95,2023-24,2024
2,Barcelona,38,26,8,4,79,44,35,86,2023-24,2024
3,Girona,38,25,6,7,85,46,39,81,2023-24,2024
4,Atletico Madrid,38,24,5,9,70,43,27,77,2023-24,2024
5,Athletic Club,38,21,9,8,61,37,24,72,2023-24,2024
6,Real Sociedad,38,17,9,12,51,48,3,60,2023-24,2024
7,Real Betis,38,14,11,13,48,50,-2,53,2023-24,2024
8,Valencia,38,13,10,15,44,55,-11,49,2023-24,2024
9,Villarreal,38,14,7,17,56,63,-7,49,2023-24,2024
10,Alaves,38,12,10,16,41,53,-12,46,2023-24,2024
11,Osasuna,38,12,10,16,45,56,-11,46,2023-24,2024
12,Celta Vigo,38,12,9,17,45,57,-12,45,2023-24,2024
13,Sevilla,38,11,10,17,54,58,-4,43,2023-24,2024
14,Mallorca,38,10,13,15,33,48,-15,43,2023-24,2024
15,Las Palmas,38,11,9,18,40,60,-20,42,2023-24,2024
16,Rayo Vallecano,38,10,10,18,42,58,-16,40,2023-24,2024
17,Getafe,38,8,15,15,29,38,-9,39,2023-24,2024
18,Cadiz,38,6,10,22,28,72,-44,28,2023-24,2024
19,Granada,38,5,8,25,40,86,-46,23,2023-24,2024
20,Almeria,38,3,5,30,43,93,-50,14,2023-24,2024
