Pos,Squad,Pld,W,D,L,GF,GA,GD,Pts,Season,Season_End
1,Paris Saint-Germain,34,26,4,4,87,26,61,82,2023-24,2024
2,Monaco,34,24,5,5,75,39,36,77,2023-24,2024
3,Brest,34,22,6,6,65,40,25,72,2023-24,2024
4,Lille,34,20,5,9,68,43,25,65,2023-24,2024
5,Nice,34,17,7,10,55,40,15,58,2023-24,2024
6,Lyon,34,16,8,10,57,50,7,56,2023-24,2024
7,Lens,34,15,6,13,50,47,3,51,2023-24,2024
8,Marseille,34,13,9,12,49,46,3,48,2023-24,2024
9,Toulouse,34,12,10,12,54,54,0,46,2023-24,2024
10,Reims,34,11,10,13,39,45,-6,43,2023-24,2024
11,Le Havre,34,11,9,14,32,48,-16,42,2023-24,2024
12,Rennes,34,11,8,15,48,52,-4,41,2023-24,2024
13,Strasbourg,34,10,8,16,40,55,-15,38,2023-24,2024
14,Montpellier,34,9,8,17,40,60,-20,35,2023-24,2024
15,Nantes,34,8,10,16,36,49,-13,34,2023-24,2024
16,Clermont,34,7,5,22,33,70,-37,26,2023-24,2024
17,Lorient,34,5,7,22,29,75,-46,22,2023-24,2024
18,Metz,34,4,6,24,24,73,-49,18,2023-24,2024
