Pos,Squad,Pld,W,D,L,GF,GA,GD,Pts,Season,Season_End
1,FC Cincinnati,34,22,6,6,74,40,34,72,2023,2023
2,Philadelphia Union,34,20,7,7,60,37,23,67,2023,2023
3,Columbus Crew,34,18,8,8,60,44,16,62,2023,2023
4,New England Revolution,34,17,7,10,55,43,12,58,2023,2023
5,Nashville SC,34,16,9,9,53,40,13,57,2023,2023
6,Atlanta United,34,16,8,10,52,44,8,56,2023,2023
7,New York City FC,34,16,7,11,53,44,9,55,2023,2023
8,Seattle Sounders,34,15,9,10,52,41,11,54,2023,2023
9,Orlando City,34,14,9,11,48,43,5,51,2023,2023
10,Sporting Kansas City,34,14,8,12,50,47,3,50,2023,2023
11,Real Salt Lake,34,14,8,12,49,47,2,50,2023,2023
12,LAFC,34,14,7,13,55,50,5,49,2023,2023
13,New York Red Bulls,34,13,8,13,44,44,0,47,2023,2023
14,Inter Miami,34,13,7,14,49,52,-3,46,2023,2023
15,Minnesota United,34,13,6,15,44,48,-4,45,2023,2023
16,LA Galaxy,34,12,8,14,46,52,-6,44,2023,2023
17,Portland Timbers,34,12,8,14,47,55,-8,44,2023,2023
18,Charlotte FC,34,11,9,14,40,49,-9,42,2023,2023
19,CF Montréal,34,11,8,15,41,52,-11,41,2023,2023
20,Vancouver Whitecaps,34,11,7,16,40,51,-11,40,2023,2023
21,Houston Dynamo,34,11,7,16,45,55,-10,40,2023,2023
22,Toronto FC,34,11,6,17,40,54,-14,39,2023,2023
23,Colorado Rapids,34,10,8,16,39,52,-13,38,2023,2023
24,Chicago Fire,34,10,7,17,36,53,-17,37,2023,2023
25,FC Dallas,34,9,9,16,41,56,-15,36,2023,2023
26,D.C. United,34,9,8,17,39,59,-20,35,2023,2023
27,San Jose Earthquakes,34,8,9,17,36,58,-22,33,2023,2023
28,Austin FC,34,8,8,18,37,56,-19,32,2023,2023
29,St. Louis City SC,34,7,8,19,37,63,-26,29,2023,2023
30,New York RB II (expansion),34,5,7,22,28,68,-40,22,2023,2023
