Pos,Squad,Pld,W,D,L,GF,GA,GD,Pts,Season,Season_End
1,Al Hilal,34,27,6,1,103,30,73,87,2023-24,2024
2,Al Nassr,34,23,6,5,81,44,37,75,2023-24,2024
3,Al Ahli,34,19,7,8,68,42,26,64,2023-24,2024
4,Al Ittihad,34,18,8,8,64,44,20,62,2023-24,2024
5,Al Qadsiah,34,16,8,10,54,46,8,56,2023-24,2024
6,Damac,34,14,9,11,45,44,1,51,2023-24,2024
7,Al Taawoun,34,14,7,13,52,52,0,49,2023-24,2024
8,Al Ettifaq,34,12,9,13,51,53,-2,45,2023-24,2024
9,Al Fateh,34,12,7,15,42,50,-8,43,2023-24,2024
10,Abha,34,10,10,14,40,52,-12,40,2023-24,2024
11,Al Riyadh,34,10,8,16,41,56,-15,38,2023-24,2024
12,Al Shabab,34,10,7,17,40,57,-17,37,2023-24,2024
13,Al Feiha,34,9,9,16,39,58,-19,36,2023-24,2024
14,Al Akhdood,34,8,9,17,36,60,-24,33,2023-24,2024
15,Al Kholood,34,8,8,18,37,64,-27,32,2023-24,2024
16,Al Khaleej,34,7,8,19,34,60,-26,29,2023-24,2024
17,Al Wehda,34,6,7,21,31,65,-34,25,2023-24,2024
18,Al Raed,34,5,7,22,28,74,-46,22,2023-24,2024
