Pos,Squad,Pld,W,D,L,GF,GA,GD,Pts,Season,Season_End
1,Celtic,38,31,4,3,95,28,67,97,2023-24,2024
2,Rangers,38,25,7,6,81,41,40,82,2023-24,2024
3,Hearts,38,17,9,12,56,46,10,60,2023-24,2024
4,Aberdeen,38,15,10,13,48,47,1,55,2023-24,2024
5,Dundee,38,13,9,16,47,52,-5,48,2023-24,2024
6,Livingston,38,12,9,17,39,54,-15,45,2023-24,2024
7,Kilmarnock,38,11,10,17,42,56,-14,43,2023-24,2024
8,St Mirren,38,11,9,18,42,60,-18,42,2023-24,2024
9,Motherwell,38,10,10,18,44,59,-15,40,2023-24,2024
10,Hibernian,38,10,9,19,45,63,-18,39,2023-24,2024
11,St Johnstone,38,8,8,22,30,65,-35,32,2023-24,2024
12,Ross County,38,6,8,24,31,74,-43,26,2023-24,2024
