Pos,Squad,Pld,W,D,L,GF,GA,GD,Pts,Season,Season_End
1,Inter Milan,38,29,7,2,89,22,67,94,2023-24,2024
2,AC Milan,38,22,9,7,76,48,28,75,2023-24,2024
3,Juventus,38,19,14,5,51,29,22,71,2023-24,2024
4,Atalanta,38,22,5,11,74,48,26,71,2023-24,2024
5,Bologna,38,18,9,11,56,40,16,63,2023-24,2024
6,Roma,38,18,7,13,65,56,9,61,2023-24,2024
7,Lazio,38,17,8,13,58,53,5,59,2023-24,2024
8,Fiorentina,38,15,10,13,60,55,5,55,2023-24,2024
9,Torino,38,14,10,14,50,48,2,52,2023-24,2024
10,Napoli,38,12,12,14,54,58,-4,48,2023-24,2024
11,Genoa,38,11,10,17,45,61,-16,43,2023-24,2024
12,Monza,38,11,10,17,51,62,-11,43,2023-24,2024
13,Cagliari,38,10,10,18,34,61,-27,40,2023-24,2024
14,Udinese,38,10,8,20,39,57,-18,38,2023-24,2024
15,Empoli,38,9,10,19,37,58,-21,37,2023-24,2024
16,Hellas Verona,38,9,7,22,41,71,-30,34,2023-24,2024
17,Lecce,38,7,12,19,34,73,-39,33,2023-24,2024
18,Frosinone,38,7,9,22,43,75,-32,30,2023-24,2024
19,Sassuolo,38,5,9,24,41,74,-33,24,2023-24,2024
20,Salernitana,38,4,6,28,27,79,-52,18,2023-24,2024
